"codigo_parroquia";"nombre_parroquia";"Canton_codigo_canton"
50151;"ALAQUES (ALAQUEZ)";501
50152;"BELISARIO QUEVEDO (GUANAILIN)";501
50153;"GUAITACAMA (GUAYTACAMA)";501
50154;"JOSEGUANGO BAJO";501
50156;"MULALO";501
50157;"11 DE NOVIEMBRE (ILINCHISI)";501
50158;"POALO";501
50159;"SAN JUAN DE PASTOCALLE";501
50161;"TANICUCHI";501
50162;"TOACASO";501
50250;"LA MANA";502
50251;"GUASAGANDA (CAB. EN GUASAGANDA CENTRO)";502
50252;"PUCAYACU";502
50350;"EL CORAZON";503
50351;"MORASPUNGO";503
50352;"PINLLOPATA";503
50450;"PUJILI";504
50455;"LA VICTORIA";504
50456;"PILALO";504
50457;"TINGO";504
50458;"ZUMBAHUA";504
50550;"SAN MIGUEL";505
50551;"ANTONIO JOSE HOLGUIN (SANTA LUCIA)";505
50552;"CUSUBAMBA";505
50553;"MULALILLO";505
50554;"MULLIQUINDIL (SANTA ANA)";505
50555;"PANSALEO";505
50650;"SAQUISILI";506
50651;"CANCHAGUA";506
50652;"CHANTILIN";506
50653;"COCHAPAMBA";506
50750;"SIGCHOS";507
50751;"CHUGCHILLAN";507
50752;"ISINLIVI";507
60150;"RIOBAMBA";601
60152;"CALPI";601
60153;"CUBIJIES";601
60155;"LICAN";601
60156;"LICTO";601
60157;"PUNGALA";601
60158;"PUNIN";601
60159;"QUIMIAG";601
60160;"SAN JUAN";601
60161;"CACHA (CAB. EN MACHANGARA)  SAN LUIS";601
60250;"ALAUSI";602
60251;"ACHUPALLAS";602
60253;"GUASUNTOS";602
60254;"HUIGRA";602
60255;"MULTITUD";602
60258;"SEVILLA";602
60259;"SIBAMBE";602
60350;"VILLA LA UNION (CAJABAMBA)";603
60352;"COLUMBE";603
60353;"JUAN DE VELASCO (PANGOR)";603
60354;"SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)";603
60450;"CHAMBO";604
60550;"CHUNCHI";605
60552;"COMPUD";605
60554;"LLAGOS";605
60650;"GUAMOTE";606
60651;"CEBADAS";606
60652;"PALMIRA";606
60750;"GUANO";607
60751;"GUANANDO";607
60752;"ILAPO";607
60753;"LA PROVIDENCIA";607
60754;"SAN ANDRES";607
60755;"SAN GERARDO DE PACAICAGUAN";607
60756;"SAN ISIDRO DE PATULU";607
60758;"SANTA FE DE GALAN";607
60850;"PALLATANGA";608
60950;"PENIPE";609
60952;"MATUS";609
60954;"SAN ANTONIO DE BAYUSHIG";609
61050;"CUMANDA";610
70150;"MACHALA";701
70152;"EL RETIRO";701
70250;"ARENILLAS";702
70251;"CHACRAS";702
70254;"PALMALES";702
70255;"CARCABON";702
70350;"PACCHA";703
70351;"AYAPAMBA";703
70352;"CORDONCILLO";703
70353;"MILAGRO";703
70355;"SAN JUAN DE CERRO AZUL";703
70450;"BALSAS";704
70451;"BELLAMARIA";704
70550;"CHILLA";705
70650;"EL GUABO";706
70651;"BARBONES (SUCRE)";706
70652;"LA IBERIA";706
70653;"TENDALES (CAB. EN PUERTO TENDALES)";706
70654;"RIO BONITO";706
70750;"HUAQUILLAS";707
70850;"MARCABELI";708
70851;"EL INGENIO";708
70950;"PASAJE";709
70951;"BUENAVISTA";709
70952;"CASACAY";709
70953;"LA PEAN";709
70954;"PROGRESO";709
70955;"UZHCURRUMI";709
70956;"CANQUEMADA";709
71050;"PINS";710
71052;"LA BOCANA";710
71054;"PIEDRAS";710
71055;"SAN ROQUE (AMBROSIO MALDONADO)";710
71056;"SARACAY";710
71150;"PORTOVELO";711
71151;"CURTINCAPA";711
71152;"MORALES";711
71250;"SANTA ROSA";712
71251;"BELLAVISTA";712
71252;"JAMBELI";712
71253;"LA AVANZADA";712
71254;"SAN ANTONIO";712
71255;"TORATA";712
71256;"VICTORIA";712
71257;"BELLAMARIA";712
71350;"ZARUMA";713
71352;"ARCAPAMBA";713
71353;"GUANAZAN";713
71354;"GUIZHAGUIN";713
71355;"HUERTAS";713
71356;"MALVAS";713
71357;"MULUNCAY GRANDE";713
71358;"SINSAO";713
71450;"LA VICTORIA";714
71452;"EL PARAISO";714
71453;"SAN ISIDRO";714
80150;"ESMERALDAS";801
80152;"CAMARONES (CAB. EN SAN VICENTE)";801
80154;"CHINCA";801
80159;"MAJUA";801
80163;"SAN MATEO";801
80165;"TABIAZO";801
80166;"TACHINA";801
80168;"VUELTA LARGA";801
80250;"VALDEZ (LIMONES)";802
80253;"BORBON";802
80254;"LA TOLA";802
80255;"LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)";802
80256;"MALDONADO";802
80257;"PAMPANAL DE BOLIVAR";802
80258;"SAN FRANCISCO DE ONZOLE";802
80259;"SANTO DOMINGO DE ONZOLE";802
80260;"SELVA ALEGRE";802
80261;"TELEMBI";802
80262;"COLON ELOY DEL MARIA";802
80265;"SANTA LUCIA DE LAS PENS";802
80350;"MUISNE";803
80352;"DAULE";803
80354;"QUINGUE (OLMEDO PERDOMO FRANCO)";803
80355;"SALIMA";803
80356;"SAN FRANCISCO";803
80357;"SAN GREGORIO";803
80358;"SAN JOSE DE CHAMANGA";803
80450;"ROSA ZARATE (QUININDE)";804
80451;"CUBE";804
80452;"CHURA (CHANCAMA) (CAB. EN EL YERBERO)";804
80453;"MALIMPIA";804
80454;"VICHE";804
80455;"LA UNION";804
80550;"SAN LORENZO";805
80551;"ALTO TAMBO (CAB EN GUADUAL)";805
80552;"ANCON (PICHANGAL) (CAB. EN PALMA REAL)";805
80553;"CALDERON";805
80554;"CARONDELET";805
80556;"CONCEPCION";805
80557;"MATAJE (CAB. EN SANTANDER)";805
80559;"SANTA RITA";805
80560;"TAMBILLO";805
80561;"TULULBI (CAB. EN RICAURTE)";805
80562;"URBINA";805
80650;"ATACAMES";806
80651;"LA UNION";806
80652;"SUA (CAB. EN LA BOCANA)";806
80653;"TONCHIGUE";806
80654;"TONSUPA";806
80750;"RIOVERDE";807
80751;"CHONTADURO";807
80752;"CHUMUNDE";807
80753;"LAGARTO";807
80754;"MONTALVO (CAB EN HORQUETA)";807
80755;"ROCAFUERTE";807
90150;"GUAYAQUIL";901
90152;"JUAN GOMEZ RENDON (PROGRESO)";901
90153;"MORRO";901
90156;"POSORJA";901
90157;"PUNA";901
90158;"TENGUEL";901
90250;"ALFREDO BAQUERIZO MORENO (JUJAN)";902
90350;"BALAO";903
90450;"BALZAR";904
90550;"COLIMES";905
90551;"SAN JACINTO";905
90650;"DAULE";906
90652;"JUAN BAUTISTA AGUIRRE (LOS TINTOS)";906
90653;"LAUREL";906
90654;"LIMONAL";906
90656;"LOS LOJAS (ENRIQUE BAQUERIZO MORENO)";906
90750;"ELOY ALFARO (DURAN)";907
90850;"VELASCO IBARRA (CAB. EL EMPALME)";908
90851;"GUAYAS (PUEBLO NUEVO)";908
90852;"EL ROSARIO";908
90950;"EL TRIUNFO";909
91050;"MILAGRO";910
91051;"CHOBO";910
91053;"MARISCAL SUCRE (HUAQUES)";910
91054;"ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA)";910
91150;"NARANJAL";911
91151;"JESUS MARIA";911
91152;"SAN CARLOS";911
91153;"SANTA ROSA DE FLANDES";911
91154;"TAURA";911
91250;"NARANJITO";912
91350;"PALESTINA";913
91450;"PEDRO CARBO";914
91451;"VALLE DE LA VIRGEN";914
91452;"SABANILLA";914
91650;"SAMBORONDON";916
91651;"TARIFA";916
91850;"SANTA LUCIA";918
91950;"EL SALITRE (LAS RAMAS)";919
91951;"GRAL. VERNAZA (DOS ESTEROS)";919
91952;"LA VICTORIA (NUZA)";919
91953;"JUNQUILLAL";919
92050;"SAN JACINTO DE YAGUACHI";920
92053;"GRAL. PEDRO J. MONTERO (BOLICHE)";920
92055;"YAGUACHI VIEJO (CONE)";920
92056;"VIRGEN DE FATIMA";920
92150;"GENERAL VILLAMIL (PLAYAS)";921
92250;"SIMON BOLIVAR";922
92251;"CRNEL. LORENZO DE GARAICOA (PEDREGAL)";922
92450;"LOMAS DE SARGENTILLO";924
92550;"NARCISA DE JESUS";925
92750;"GRAL. ANTONIO ELIZALDE (BUCAY)";927
92850;"ISIDRO AYORA";928
100150;"SAN MIGUEL DE IBARRA";1001
100151;"AMBUQUI";1001
100152;"ANGOCHAGUA";1001
100153;"CAROLINA";1001
100154;"LA ESPERANZA";1001
100155;"LITA";1001
100156;"SALINAS";1001
100157;"SAN ANTONIO";1001
100250;"ATUNTAQUI";1002
100251;"IMBAYA (SAN LUIS DE COBUENDO)";1002
100252;"SAN FCO. DE NATABUELA";1002
100253;"SAN JOSE DE CHALTURA";1002
100254;"SAN ROQUE";1002
100350;"COTACACHI";1003
100351;"APUELA";1003
100352;"GARCIA MORENO (LLURIMAGUA)";1003
100353;"IMANTAG";1003
100355;"PLAZA GUTIERREZ (CALVARIO)";1003
100356;"QUIROGA";1003
100450;"OTAVALO";1004
100451;"DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE)";1004
100452;"EUGENIO ESPEJO (CALPAQUI)";1004
100453;"GONZALEZ SUAREZ";1004
100455;"SAN JOSE DE QUICHINCHE";1004
100456;"SAN JUAN DE ILUMAN";1004
100457;"SAN PABLO";1004
100458;"SAN RAFAEL";1004
100550;"PIMAMPIRO";1005
100551;"CHUGA";1005
100553;"SAN  FCO. DE SIGSIPAMBA";1005
100650;"URCUQUI";1006
100651;"CAHUASQUI";1006
100652;"LA MERCED DE BUENOS AIRES";1006
100653;"PABLO ARENAS";1006
100654;"SAN BLAS";1006
100655;"TUMBABIRO";1006
110150;"LOJA";1101
110151;"CHANTACO";1101
110152;"CHUQUIRIBAMBA";1101
110153;"EL CISNE";1101
110154;"GUALEL";1101
110156;"MALACATOS (VALLADOLID)";1101
110157;"SAN LUCAS";1101
110158;"SAN PEDRO DE VILCABAMBA";1101
110159;"SANTIAGO";1101
110160;"TAQUIL (MIGUEL RIOFRIO)";1101
110161;"VILCABAMBA (VICTORIA)";1101
110162;"YANGANA (ARSENIO CASTILLO)";1101
110163;"QUINARA";1101
110250;"CARIAMANGA";1102
110251;"COLAISACA";1102
110252;"EL LUCERO";1102
110254;"SANGUILLIN";1102
110350;"CATAMAYO (LA TOMA)";1103
110351;"EL TAMBO";1103
110353;"SAN PEDRO DE LA BENDITA";1103
110354;"ZAMBI";1103
110450;"CELICA";1104
110451;"CRUZPAMBA (CAB EN CARLOS BUSTAMANTE)";1104
110455;"POZUL (SAN JUAN DE POZUL)";1104
110456;"SABANILLA";1104
110550;"CHAGUARPAMBA";1105
110551;"BUENAVISTA";1105
110554;"AMARILLOS";1105
110650;"AMALUZA";1106
110651;"BELLAVISTA";1106
110652;"JIMBURA";1106
110653;"SANTA TERESITA";1106
110750;"GONZANAMA";1107
110751;"CHANGAIMINA (LA LIBERTAD)";1107
110753;"NAMBACOLA";1107
110754;"PURUNUMA (EGUIGUREN)";1107
110756;"SACAPALCA";1107
110850;"MACARA";1108
110851;"LARAMA";1108
110852;"LA VICTORIA";1108
110853;"SABIANGO (LA CAPILLA)";1108
110950;"CATACOCHA";1109
110952;"GUACHANAMA";1109
110954;"LAURO GUERRERO";1109
110956;"ORIANGA";1109
110958;"CASANGA";1109
110959;"YAMANA";1109
111050;"ALAMOR";1110
111054;"MERCADILLO";1110
111055;"VICENTINO";1110
111150;"SARAGURO";1111
111151;"EL PARAISO DE CELEN";1111
111152;"EL TABLON";1111
111153;"LLUZHAPA";1111
111154;"MANU";1111
111155;"SAN ANTONIO DE QUMBE (CUMBE)";1111
111156;"SAN PABLO DE TENTA";1111
111157;"SAN SEBASTIAN DE YULUC";1111
111159;"URDANETA (PAQUISHAPA)";1111
111160;"SUMAYPAMBA";1111
111250;"SOZORANGA";1112
111252;"TACAMOROS";1112
111350;"ZAPOTILLO";1113
111352;"GARZAREAL";1113
111354;"PALETILLAS";1113
111450;"PINDAL";1114
111452;"12 DE DICIEMBRE (CAB. EN ACHIOTES)";1114
111453;"MILAGROS";1114
111550;"QUILANGA";1115
111552;"SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)";1115
111650;"OLMEDO";1116
111651;"LA TINGUE";1116
120150;"BABAHOYO";1201
120152;"CARACOL";1201
120153;"FEBRES CORDERO (LAS JUNTAS)";1201
120154;"PIMOCHA";1201
120155;"LA UNION";1201
120250;"BABA";1202
120251;"GUARE";1202
120252;"ISLA DE BEJUCAL";1202
120350;"MONTALVO";1203
120351;"LA ESMERALDA";1203
120450;"PUEBLOVIEJO";1204
120451;"PUERTO PECHICHE";1204
120452;"SAN JUAN";1204
120550;"QUEVEDO";1205
120553;"SAN CARLOS";1205
120555;"LA ESPERANZA";1205
120650;"CATARAMA";1206
120651;"RICAURTE";1206
120750;"VENTANAS";1207
120752;"ZAPOTAL";1207
120753;"CHACARITA";1207
120754;"LOS ANGELES";1207
120850;"VINCES";1208
120851;"ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES)";1208
120950;"PALENQUE";1209
121050;"SAN JACINTO DE BUENA FE";1210
121051;"PATRICIA PILAR";1210
121150;"VALENCIA";1211
121250;"MOCACHE";1212
121350;"QUINSALOMA";1213
130150;"PORTOVIEJO";1301
130151;"ABDON CALDERON (SAN FRANCISCO)";1301
130152;"ALHAJUELA (BAJO GRANDE)";1301
130153;"CRUCITA";1301
130154;"PUEBLO NUEVO";1301
130155;"RIOCHICO (RIO CHICO)";1301
130156;"SAN PLACIDO";1301
130157;"CHIRIJOS";1301
130250;"CALCETA";1302
130251;"MEMBRILLO";1302
130252;"QUIROGA";1302
130350;"CHONE";1303
130351;"BOYACA";1303
130352;"CANUTO";1303
130353;"CONVENTO";1303
130354;"CHIBUNGA";1303
130355;"ELOY ALFARO";1303
130356;"RICAURTE";1303
130357;"SAN ANTONIO";1303
130450;"EL CARMEN";1304
130451;"WILFRIDO LOOR MOREIRA (MAICITO)";1304
130452;"SAN PEDRO DE SUMA";1304
130550;"FLAVIO ALFARO";1305
130551;"SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO)";1305
130552;"ZAPALLO";1305
130650;"JIPIJAPA";1306
130651;"AMERICA";1306
130652;"EL ANEGADO (CAB. EN ELOY ALFARO)";1306
130653;"JULCUY";1306
130654;"LA UNION";1306
130657;"PEDRO PABLO GOMEZ";1306
130658;"PUERTO DE CAYO";1306
130750;"JUNIN";1307
130850;"MANTA";1308
130851;"SAN LORENZO";1308
130950;"MONTECRISTI";1309
130952;"LA PILA";1309
131050;"PAJAN";1310
131051;"CAMPOZANO (LA PALMA DE PAJAN)";1310
131052;"CASCOL";1310
131053;"GUALE";1310
131054;"LASCANO";1310
131150;"PICHINCHA";1311
131151;"BARRAGANETE";1311
131152;"SAN SEBASTIAN";1311
131250;"ROCAFUERTE";1312
131350;"SANTA ANA DE VUELTA LARGA";1313
131351;"AYACUCHO";1313
131352;"HONORATO VASQUEZ (CAB EN VASQUEZ)";1313
131355;"SAN PABLO (CAB EN PUEBLO NUEVO)";1313
131450;"BAHIA DE CARAQUEZ";1314
131453;"CHARAPOTO";1314
131457;"SAN ISIDRO";1314
131550;"TOSAGUA";1315
131551;"BACHILLERO";1315
131552;"ANGEL PEDRO GILER (LA ESTANCILLA)";1315
131650;"SUCRE";1316
131651;"BELLAVISTA";1316
131652;"NOBOA";1316
131653;"ARQ. SIXTO DURAN BALLEN";1316
131750;"PEDERNALES";1317
131751;"COJIMIES";1317
131752;"10 DE AGOSTO";1317
131753;"ATAHUALPA";1317
131850;"OLMEDO";1318
131950;"PUERTO LOPEZ";1319
131951;"MACHALILLA";1319
131952;"SALANGO";1319
132050;"JAMA";1320
132150;"JARAMIJO";1321
132250;"SAN VICENTE";1322
132251;"CANOA";1322
140150;"MACAS";1401
140153;"GENERAL PROA N";1401
140156;"SAN ISIDRO";1401
140157;"SEVILLA DON BOSCO";1401
140158;"SINAI";1401
140160;"ZUN (ZUNC)";1401
140162;"CUCHAENTZA";1401
140164;"RIO BLANCO";1401
140250;"GUALAQUIZA";1402
140251;"AMAZONAS (ROSARIO DE CUYES)";1402
140253;"BOMBOIZA";1402
140254;"CHIGUINDA";1402
140255;"EL ROSARIO";1402
140256;"NUEVA TARQUI";1402
140258;"EL IDEAL";1402
140350;"GRAL. LEONIDAS PLAZA GUTIERREZ";1403
140353;"SAN ANTONIO (CAB EN SAN ANTONIO CENTRO)";1403
140357;"STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA)";1403
140358;"YUNGANZA (CAB EN EL ROSARIO)";1403
140450;"PALORA (METZERA)";1404
140451;"ARAPICOS";1404
140452;"CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO)";1404
140454;"SANGAY (CAB EN NAYAMANACA)";1404
140455;"16 DE AGOSTO";1404
140550;"SANTIAGO DE MENDEZ";1405
140552;"CHUPIANZA";1405
140553;"PATUCA";1405
140554;"SAN LUIS DE EL ACHO (CAB EN EL ACHO)";1405
140556;"TAYUZA";1405
140557;"SAN FRANCISCO DE CHINIMBIMI";1405
140650;"SUCUA";1406
140651;"ASUNCION";1406
140652;"HUAMBI";1406
140655;"SANTA MARIANITA DE JESUS";1406
140750;"HUAMBOYA";1407
140751;"CHIGUAZA";1407
140850;"SAN JUAN BOSCO";1408
140852;"SAN CARLOS DE LIMON";1408
140854;"SAN CARLOS DE LIMON  SANTIAGO DE PANANZA";1408
140950;"TAISHA";1409
140952;"MACUMA";1409
141050;"LOGRO N";1410
141052;"SHIMPIS";1410
141150;"PABLO SEXTO";1411
141250;"SANTIAGO";1412
141251;"SAN JOSE DE MORONA";1412
150150;"TENA";1501
150151;"AHUANO";1501
150153;"CHONTAPUNTA";1501
150154;"PANO";1501
150155;"PUERTO MISAHUALLI";1501
150156;"PUERTO NAPO";1501
150157;"TALAG";1501
150158;"SAN JUAN DE MUYUNA";1501
150350;"ARCHIDONA";1503
150352;"COTUNDO";1503
150354;"SAN PABLO DE USHPAYACU";1503
150356;"HATUN SUMAKU";1503
150450;"EL CHACO";1504
150451;"GONZALO DIAZ DE PINEDA (EL BOMBON)";1504
150452;"LINARES";1504
150454;"SANTA ROSA";1504
150455;"SARDINAS";1504
150750;"BAEZA";1507
150751;"COSANGA";1507
150752;"CUYUJA";1507
150753;"PAPALLACTA";1507
150754;"SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)";1507
150756;"SUMACO";1507
160150;"PUYO";1601
160152;"CANELOS";1601
160154;"DIEZ DE AGOSTO";1601
160155;"FATIMA";1601
160156;"MONTALVO (ANDOAS)";1601
160159;"RIO TIGRE";1601
160161;"SARAYACU";1601
160162;"SIMON BOLIVAR (CAB. EN MUSHULLACTA)";1601
160163;"TARQUI";1601
160164;"TENIENTE HUGO ORTIZ";1601
160165;"VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA)";1601
160166;"EL TRIUNFO";1601
160250;"MERA";1602
160251;"MADRE TIERRA";1602
160252;"SHELL";1602
160350;"SANTA CLARA";1603
160351;"SAN JOSE";1603
160450;"ARAJUNO";1604
160451;"CURARAY";1604
170150;"QUITO";1701
170151;"ALANGASI";1701
170152;"AMAGUAN";1701
170154;"CALACALI";1701
170155;"CALDERON (CARAPUNGO)";1701
170156;"CONOCOTO";1701
170157;"CUMBAYA";1701
170158;"CHAVEZPAMBA";1701
170159;"CHECA (CHILPA)";1701
170160;"EL QUINCHE";1701
170161;"GUALEA";1701
170162;"GUANGOPOLO";1701
170163;"GUAYLLABAMBA";1701
170164;"LA MERCED";1701
170165;"LLANO CHICO";1701
170166;"LLOA";1701
170168;"NANEGAL";1701
170169;"NANEGALITO";1701
170170;"NAYON";1701
170171;"NONO";1701
170172;"PACTO";1701
170174;"PERUCHO";1701
170175;"PIFO";1701
170176;"PINTAG";1701
170177;"POMASQUI";1701
170178;"PUELLARO";1701
170179;"PUEMBO";1701
170180;"SAN ANTONIO";1701
170181;"SAN JOSE DE MINAS";1701
170183;"TABABELA";1701
170184;"TUMBACO";1701
170185;"YARUQUI";1701
170186;"ZAMBIZA";1701
170250;"CAYAMBE";1702
170251;"ASCAZUBI";1702
170252;"CANGAHUA";1702
170253;"OLMEDO (PESILLO)";1702
170254;"OTON";1702
170255;"SANTA ROSA DE CUZUBAMBA";1702
170256;"SAN JOSE DE AYORA";1702
170350;"MACHACHI";1703
170351;"ALOAG";1703
170352;"ALOASI";1703
170353;"CUTUGLAHUA";1703
170354;"EL CHAUPI";1703
170355;"MANUEL CORNEJO ASTORGA (TANDAPI)";1703
170356;"TAMBILLO";1703
170357;"UYUMBICHO";1703
170450;"TABACUNDO";1704
170451;"LA ESPERANZA";1704
170452;"MALCHINGUI";1704
170453;"TOCACHI";1704
170454;"TUPIGACHI";1704
170550;"SANGOLQUI";1705
170551;"COTOGCHOA";1705
170552;"RUMIPAMBA";1705
170750;"SAN MIGUEL DE LOS BANCOS";1707
170751;"MINDO";1707
170850;"PEDRO VICENTE MALDONADO";1708
170950;"PUERTO QUITO";1709
180150;"AMBATO";1801
180151;"AMBATILLO";1801
180152;"ATAHUALPA (CHISALATA)";1801
180153;"AUGUSTO N. MARTINEZ (MUNDUGLEO)";1801
180154;"CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)";1801
180155;"HUACHI GRANDE";1801
180156;"IZAMBA";1801
180157;"JUAN BENIGNO VELA";1801
180158;"MONTALVO";1801
180159;"PASA";1801
180160;"PICAIGUA";1801
180161;"PILAGUIN (PILAHUIN)";1801
180162;"QUISAPINCHA (QUIZAPINCHA)";1801
180163;"SAN BARTOLOME DE PINLLOG";1801
180165;"SANTA ROSA";1801
180166;"TOTORAS";1801
180167;"CUNCHIBAMBA";1801
180168;"UNAMUNCHO";1801
180250;"BANOS DE AGUA SANTA";1802
180252;"RIO NEGRO";1802
180253;"RIO VERDE";1802
180254;"ULBA";1802
180350;"CEVALLOS";1803
180450;"MOCHA";1804
180451;"PINGUILI";1804
180550;"PATATE";1805
180551;"EL TRIUNFO";1805
180553;"SUCRE (CAB. EN SUCRE-PATATE URCU)";1805
180650;"QUERO";1806
180651;"RUMIPAMBA";1806
180652;"YANAYACU - MOCHAPATA (CAB. EN YANAYACU)";1806
180750;"PELILEO";1807
180751;"BENITEZ (PACHANLICA)";1807
180752;"BOLIVAR";1807
180753;"COTALO";1807
180754;"CHIQUICHA (CAB. EN CHIQUICHA GRANDE)";1807
180755;"EL ROSARIO (RUMICHACA)";1807
180756;"GARCIA MORENO (CHUMAQUI)";1807
180757;"GUAMBALO (HUAMBALO)";1807
180758;"SALASACA";1807
180850;"PILLARO";1808
180852;"EMILIO MARIA TERAN (RUMIPAMBA)";1808
180853;"MARCOS ESPINEL (CHACATA)";1808
180854;"PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)";1808
180855;"SAN ANDRES";1808
180856;"SAN JOSE DE POALO";1808
180857;"SAN MIGUELITO";1808
180950;"TISALEO";1809
180951;"QUINCHICOTO";1809
190150;"ZAMORA";1901
190151;"CUMBARATZA";1901
190152;"GUADALUPE";1901
190155;"SABANILLA";1901
190156;"TIMBARA";1901
190158;"SAN CARLOS DE LAS MINAS";1901
190250;"ZUMBA";1902
190251;"CHITO";1902
190254;"LA CHONTA";1902
190256;"PUCAPAMBA";1902
190350;"GUAYZIMI";1903
190351;"ZURMI";1903
190352;"NUEVO PARAISO";1903
190450;"28 DE MAYO (SAN JOSE DE YACUAMBI)";1904
190451;"LA PAZ";1904
190550;"YANTZAZA (YANZATZA)";1905
190551;"CHICAN";1905
190553;"LOS ENCUENTROS";1905
190650;"EL PANGUI";1906
